tree   x   y   rad   votes   z_min   z_max   points
8   -1.22499   -7.30998   0.075   3   18.9   19.4   7   
8   -1.11407   -7.35327   0.075   3   19.4   19.9   6   
8   -1.0641   -8.13389   0.025   3   19.9   20.4   8   
9   -1.30784   1.20717   0.1   13   -0.6   -0.1   978   
9   -1.32793   1.23743   0.125   15   -0.1   0.4   963   
9   -1.33434   1.26084   0.125   16   0.4   0.9   689   
9   -1.33933   1.25824   0.1   14   0.9   1.4   481   
9   -1.35195   1.28882   0.1   13   1.4   1.9   398   
9   -1.34676   1.32665   0.1   21   1.9   2.4   295   
9   -1.33754   1.34634   0.1   18   2.4   2.9   213   
9   -1.33989   1.36009   0.1   16   2.9   3.4   168   
9   -1.34864   1.37172   0.1   17   3.4   3.9   99   
9   -1.36617   1.37904   0.1   21   3.9   4.4   89   
9   -1.37847   1.42173   0.1   19   4.4   4.9   82   
9   -1.36175   1.42173   0.1   19   4.9   5.4   65   
9   -1.37449   1.47173   0.1   18   5.4   5.9   64   
9   -1.37018   1.47173   0.1   14   5.9   6.4   58   
9   -1.38449   1.52173   0.1   14   6.4   6.9   68   
9   -1.38442   1.52173   0.075   14   6.9   7.4   63   
9   -1.38317   1.52173   0.075   12   7.4   7.9   61   
9   -1.38487   1.54673   0.075   9   7.9   8.4   44   
9   -1.4166   1.57173   0.075   9   8.4   8.9   42   
9   -1.38154   1.59673   0.075   9   8.9   9.4   41   
9   -1.40206   1.62173   0.075   8   9.4   9.9   42   
9   -1.42054   1.62173   0.075   9   9.9   10.4   40   
9   -1.4108   1.6503   0.075   7   10.4   10.9   41   
9   -1.3803   1.66772   0.075   8   10.9   11.4   22   
9   -1.40953   1.69673   0.075   8   11.4   11.9   32   
9   -1.41119   1.72173   0.075   7   11.9   12.4   29   
9   -1.41996   1.69673   0.075   8   12.4   12.9   23   
9   -1.42163   1.74673   0.075   8   12.9   13.4   23   
9   -1.39265   1.79673   0.075   6   13.4   13.9   15   
9   -1.40454   1.82173   0.075   8   13.9   14.4   14   
9   -1.34999   1.87173   0.05   4   14.4   14.9   15   
9   -1.44682   1.79673   0.075   6   14.9   15.4   14   
9   -1.29646   1.87173   0.05   5   15.4   15.9   17   
9   -1.35863   1.84673   0.025   4   15.9   16.4   9   
9   -1.40293   1.92173   0.025   4   16.4   16.9   10   
9   -1.36725   1.92173   0.05   5   16.9   17.4   15   
9   -0.750801   1.64673   0.025   4   17.4   17.9   17   
9   -1.38573   1.84673   0.025   3   17.9   18.4   11   
9   -1.77154   1.22539   0.025   3   18.4   18.9   13   
9   -0.932227   1.38338   0.025   3   18.9   19.4   19   
9   -1.83896   0.860932   0.05   5   19.4   19.9   38   
9   -1.75918   0.944665   0.075   5   19.9   20.4   46   
9   -1.77598   1.44773   0.025   4   20.4   20.9   63   
9   -1.25679   1.90101   0.05   4   20.9   21.4   44   
9   -1.73686   1.87173   0.025   3   21.4   21.9   18   
9   -1.02624   1.52173   0.05   3   21.9   22.4   7   
10   -1.31533   -1.68279   0.125   14   -0.6   -0.1   792   
10   -1.26913   -1.62819   0.1   15   -0.1   0.4   783   
10   -1.30205   -1.61136   0.125   14   0.4   0.9   643   
10   -1.31445   -1.58253   0.125   17   0.9   1.4   511   
10   -1.32921   -1.55493   0.125   14   1.4   1.9   371   
